Loading training images...
Loaded 100000 images of shape (64, 64, 3)
Epoch 55/100 - Train Loss: 4.2425, Train Acc: 33.49%, Test Loss: 5.8201, Test Acc: 7.46%
Epoch 56/100 - Train Loss: 4.2107, Train Acc: 34.12%, Test Loss: 5.8304, Test Acc: 7.45%
Epoch 57/100 - Train Loss: 4.1792, Train Acc: 34.77%, Test Loss: 5.8410, Test Acc: 7.47%
Epoch 58/100 - Train Loss: 4.1469, Train Acc: 35.49%, Test Loss: 5.8517, Test Acc: 7.45%
Epoch 59/100 - Train Loss: 4.1140, Train Acc: 36.23%, Test Loss: 5.8626, Test Acc: 7.46%
Epoch 60/100 - Train Loss: 4.0816, Train Acc: 36.89%, Test Loss: 5.8749, Test Acc: 7.41%
Epoch 61/100 - Train Loss: 4.0494, Train Acc: 37.53%, Test Loss: 5.8877, Test Acc: 7.41%
Epoch 62/100 - Train Loss: 4.0168, Train Acc: 38.22%, Test Loss: 5.9011, Test Acc: 7.41%
Epoch 63/100 - Train Loss: 3.9844, Train Acc: 38.94%, Test Loss: 5.9150, Test Acc: 7.37%
Epoch 64/100 - Train Loss: 3.9516, Train Acc: 39.62%, Test Loss: 5.9294, Test Acc: 7.34%
Epoch 65/100 - Train Loss: 3.9190, Train Acc: 40.30%, Test Loss: 5.9442, Test Acc: 7.35%
Epoch 66/100 - Train Loss: 3.8863, Train Acc: 41.00%, Test Loss: 5.9593, Test Acc: 7.36%
Epoch 67/100 - Train Loss: 3.8537, Train Acc: 41.79%, Test Loss: 5.9754, Test Acc: 7.37%
Epoch 68/100 - Train Loss: 3.8213, Train Acc: 42.48%, Test Loss: 5.9926, Test Acc: 7.27%
Epoch 69/100 - Train Loss: 3.7893, Train Acc: 43.21%, Test Loss: 6.0100, Test Acc: 7.25%
Epoch 70/100 - Train Loss: 3.7568, Train Acc: 43.89%, Test Loss: 6.0280, Test Acc: 7.20%
Epoch 71/100 - Train Loss: 3.7238, Train Acc: 44.69%, Test Loss: 6.0463, Test Acc: 7.21%
Epoch 72/100 - Train Loss: 3.6918, Train Acc: 45.44%, Test Loss: 6.0657, Test Acc: 7.16%
Epoch 73/100 - Train Loss: 3.6593, Train Acc: 46.11%, Test Loss: 6.0855, Test Acc: 7.12%
Epoch 74/100 - Train Loss: 3.6268, Train Acc: 46.87%, Test Loss: 6.1050, Test Acc: 7.11%
Epoch 75/100 - Train Loss: 3.5952, Train Acc: 47.58%, Test Loss: 6.1263, Test Acc: 7.03%
Epoch 76/100 - Train Loss: 3.5630, Train Acc: 48.35%, Test Loss: 6.1474, Test Acc: 7.03%
Epoch 77/100 - Train Loss: 3.5308, Train Acc: 49.10%, Test Loss: 6.1692, Test Acc: 6.98%
